title,serial
_summer Double Sharp (Japan),SLPM-66460
_summer Double Sharp (Japan),SLPM-66877
0 Story (Japan) (Disc 1),SLPM-65002
0 Story (Japan) (Disc 2),SLPM-65003
0 Story (Japan) (Taikenban),SLPM-60101
"007 - Agent Under Fire (Europe) (En,Fr,De,Es,Nl,Sv)",SLES-50539
007 - Agent Under Fire (Korea),SLPM-67505
007 - Agent Under Fire (USA),SLUS-20265
007 - Everything or Nothing (Europe) (Demo),SLED-52326
"007 - Everything or Nothing (Europe) (En,Es,It,Nl,Sv)",SLES-52005
"007 - Everything or Nothing (Europe) (Fr,De)",SLES-52046
007 - Everything or Nothing (Japan),SLPM-65446
007 - Everything or Nothing (Japan),SLPM-66616
007 - Everything or Nothing (Japan),SLPM-65725
007 - Everything or Nothing (Korea),SLKA-25129
007 - Everything or Nothing (USA),SLUS-20751
007 - Everything or Nothing (USA) (Demo),SLUS-29095
007 - From Russia with Love (Europe) (Demo),SLED-53673
"007 - From Russia with Love (Europe) (En,Fr,De,Es,It,Nl,Sv)",SLES-53553
007 - From Russia with Love (USA),SLUS-21282
007 - From Russia with Love (USA) (Demo),SLUS-29168
007 - Nagusame no Houshuu (Japan),SLPM-55148
"007 - Nightfire (Europe) (De,Es)",SLES-51260
"007 - Nightfire (Europe) (En,Fr,It,Nl,Sv)",SLES-51258
007 - Nightfire (Japan),SLPM-65538
007 - Nightfire (Japan),SLPM-66615
007 - Nightfire (Japan),SLPS-25203
007 - Nightfire (Korea),SLKA-25004
007 - Nightfire (USA),SLUS-20579
"007 - Quantum of Solace (Europe, Australia) (En,Fr,De,Es,It)",SLES-55345
007 - Quantum of Solace (USA),SLUS-21813
007 - Russia yori Ai o Komete (Japan),SLPM-66322
"10 Most Wanted (France) (En,Fr,De,Es,It)",SLES-52856
"10 Pin - Champions Alley (Europe) (En,Fr,De,Es,It,Nl)",SLES-53150
"10.000 Bullets (Europe) (En,Fr,De,Es,It)",SLES-53481
10th Anniversary Memorial Save Data (Japan) (Disc 2) (PlayStation 2 Taiou),SLPM-60262
120 Yen no Haru - 120 Yen Stories (Japan),SLPM-65843
12Riven - The Psi-Climinal of Integral (Japan),SLPM-66901
"18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es)",SLES-50214
18 Wheeler - American Pro Trucker (Japan),SLPM-62211
18 Wheeler - American Pro Trucker (USA),SLUS-20210
187 - Ride or Die (Europe) (Demo),SLED-53537
"187 - Ride or Die (Europe, Australia) (En,Fr,De,Es,It)",SLES-52276
"187 - Ride or Die (Korea) (En,Fr,Es)",SLKA-25322
"187 - Ride or Die (USA) (En,Fr,Es)",SLUS-21116
"1945 I & II (Europe) (En,Fr,De,Es,It)",SLES-51741
2000-2001 Winter Lineup (Japan),PCPX-96607
"2002 FIFA World Cup (Europe) (En,Sv)",SLES-50796
2002 FIFA World Cup (France),SLES-50797
2002 FIFA World Cup (France) (Demo),SLED-50910
2002 FIFA World Cup (Germany),SLES-50798
2002 FIFA World Cup (Greece),SLES-50801
2002 FIFA World Cup (Italy),SLES-50799
2002 FIFA World Cup (Japan),SLPS-25118
2002 FIFA World Cup (Korea),SLPM-67512
2002 FIFA World Cup (Spain),SLES-50800
"2002 FIFA World Cup (USA) (En,Es)",SLUS-20404
2002 Natsu no Osusume Soft Otameshi Disc (Japan),PAPX-90505
2002 Natsu no Osusume Soft Otameshi Disc (Japan),PCPX-96627
2003-nen Kaimaku - Ganbare Kyuukai-ou - Iwayuru Pro Yakyuu desu ne (Japan),SLPM-62320
"21 Card Games (Europe, Australia)",SLES-53357
"24 - The Game (Europe) (En,Fr,De,Es,It,Nl,Pl,Cs,Hu) (Demo)",SCED-53622
"24 - The Game (Europe) (En,Fr,De,Es,It,Pl,Cs,Hu) (Beta) (2005-11-28)",SCES-53358
"24 - The Game (Europe, Australia) (En,Fr,De,Es,It,Nl,Pl,Cs,Hu) (v1.00)",SCES-53358
"24 - The Game (Europe, Australia) (En,Fr,De,Es,It,Nl,Pl,Cs,Hu) (v2.00)",SCES-53358
"24 - The Game (USA) (En,Fr,Es)",SLUS-21268
25 to Life (Europe),SLES-53199
25 to Life (USA),SLUS-21016
25 to Life (USA) (Beta) (2005-05-26),SLUS-29129
3 Title Special Disc - Saru! Get You! 2 & PoPoLoCrois - Hajimari no Bouken & Boku no Natsuyasumi 2 (Japan) (Taikenban),PCPX-96328
3D Kakutou Tkool 2 (Japan),SLPS-20214
3D Kakutou Tkool 2 (Japan),SLPS-20318
3D Mahjong + Janpai Tori (Japan),SLPS-20482
3LDK - Shiawase ni Narou yo (Japan),SLPM-65608
3LDK - Shiawase ni Narou yo (Japan) (Shokai Genteiban),SLPM-65607
